,link,color,status,name,resolution,screensize,screentech,cpu,rom,ram,gpu,size,rear_cam,front_cam,sim,tech,wifi,bluetooth,weigth,os,port,price
59,https://www.hanoicomputer.vn//apple-macbook-pro-13-touchbar-myd92sa-a-xam-new,Xám (Space Grey),,Apple Macbook Pro 13 Touchbar (MYD92SA/A) (Apple M1/8GB RAM/512GB SSD/13.3 inch IPS/Mac OS/Xám) (NEW),,,Retina 13.3 inch (2560x1600) IPS Led Backlit True Tone,Apple M1 chip with 8-core CPU and 8-core GPU,512GB SSD,,Apple GPU with 8 core, ,,720p HD,,Backlit Magic Keyboard; TouchID,Wifi 802.11ac - Bluetooth 5.0,,1.4 kg,Mac OS,"USB 3.1 Gen2, 2* Thunder Bolt 3",37.699.000
60,https://www.hanoicomputer.vn//apple-macbook-pro-15-touchbar-mv912-i9-23ghz16gb-ram512gb-ssd-154radeon-560x-4g-mac-osxam-2019,Xám (Space Grey) – vỏ nhôm khối,new,Macbook Pro 15 Touchbar 2019,3072 x 1920,16,"15.4"" (2880x1800)","Intel Core i9 (2.3Ghz, 16MB cache)",512GB SSD,,Radeon Pro 560X 4GB DDR5,34.93 x 24.07x 1.55 (mm),720p FaceTime HD camera,720p HD,No,TouchID,Wifi 802.11ac - Bluetooth 5.0,yes,1.83 kg,Mac OS,4x USB 3.1 Gen 2 tích hợp Thunder Bolt 3,65.999.000
61,https://www.hanoicomputer.vn//apple-macbook-pro-13-touchbar-mwp52,Xám (Space Grey),new,Macbook Pro 13 Touchbar 2020,1560 x 1600,13,13.3 inch (2560x1600) IPS Led Backlit True Tone,"Intel Core i5 (2.0Ghz, 6MB cache) Gen 10th",1TB SSD,,Intel Iris Plus Graphics, ,720p FaceTime HD camera,720p HD,No,TouchID,Wifi 802.11ac - Bluetooth 5.0,yes,1.4 kg,Mac OS,"USB Type C, 4* Thunder Bolt 3",53.989.000
62,https://www.hanoicomputer.vn//apple-macbook-pro-13-touchbar-mv992-i5-24ghz8gb-ram256gb-ssd133mac-osbac-2019,Bạc (Silver) – Nhôm nguyên khối,new,Macbook Pro 13 Touchbar 2019,3072 x 1920,16,"Retina 13.3"" (2560x1600) IPS Led Backlit True Tone","Intel Core i5 (2.4Ghz, 6MB cache)",256GB SSD,,Intel Iris Plus 655, ,720p FaceTime HD camera,720p HD,No,TouchID,Wifi 802.11ac - Bluetooth 5.0,yes,1.37 kg,Mac OS,4x USB 3.1 Gen 2 tích hợp Thunder Bolt 3,40.499.000
63,https://www.hanoicomputer.vn//apple-macbook-air-13-mvh22,Xám (Space Grey),new,Macbook Air 13 2020,1560 x 1600,13,Retina 13.3 inch (2560x1600) IPS Led Backlit True Tone,"Intel Core i5 (1.1Ghz, 6MB cache)",512GB SSD,,Intel Iris Plus Graphics, ,720p FaceTime HD camera,720p HD,No,TouchID,Wifi 802.11ac - Bluetooth 5.0,yes,1.29 kg,Mac OS,"USB Type C, 2* Thunder Bolt 3",31.489.000
64,https://mac24h.vn/macbook-air-2020-13-inch-core-i3-8gb-256gb.html,,new,Macbook Air 2020,1560 x 1600,13,retina,"Intel Iris Plus Graphics , Retina display with True Tone",,8GB 3733MHz LPDDR4X memory,card onboard,undefined,720p FaceTime HD camera,No,No,Mac,"""Wi-Fi 802.11 b/g/n/ac""",yes,1.3,MacOS,Thunderbolt,23.500.000
65,https://mac24h.vn/macbook-pro-16-inch-2.3ghz-8-core-32gb-1tb-ssd-radeon-pro-5500m-8gb.html,,,Macbook Pro 16 inch 2.3GHz 8-Core I9  32GB  1TB SSD Radeon Pro 5500M 8GB,,,,"2.3GHz 8‑core 9th‑generation Intel Core i9 processor, Turbo Boost up to 4.8GHz",,AMD Radeon Pro 5500M with 8GB of GDDR6 memory,,,,,,,,,,,,84.500.000
66,https://mac24h.vn/macbook-pro-16-inch-2.6ghz-6-core-512gb-ssd-radeon-pro-5300m.html,,,"Macbook Pro 16 inch 2.6GHz 6-Core I7 512GB SSD Radeon Pro 5300M ( MVVJ2 , MVVL2 )",,,,2.6GHz 6-core 9th-generation Intel Core i7 processor,,16GB 2666MHz DDR4 memory,,,,,,,,,,,,53.900.000
67,https://mac24h.vn/macbook-pro-13-inch-2020-quad-core-i7-2.3ghz-16gb-1000gb.html,,new,Macbook Pro 13 inch 2020,3072 x 1920,16,retina,Intel Iris Plus Graphics,,16GB 3733MHz LPDDR4X memory,card onboard,357.9 mm x 245.9 mm,720p FaceTime HD camera,No,No,Mac,"""Wi-Fi 802.11 b/g/n/ac""",yes,2.0 kg,MacOS,4 x Thunderbolt 3 (USB-C),58.500.000
68,https://mac24h.vn/macbook-pro-13-inch-2020-quad-core-i7-2.3ghz-32gb-1000gb.html,,new,Macbook Pro 13 inch 2020,3072 x 1920,16,retina,Intel Iris Plus Graphics,,32GB 3733MHz LPDDR4X memory,card onboard,357.9 mm x 245.9 mm,720p FaceTime HD camera,No,No,Mac,"""Wi-Fi 802.11 b/g/n/ac""",yes,2.0 kg,MacOS,4 x Thunderbolt 3 (USB-C),50.900.000
