bluetooth,color,cpu,front_cam,gpu,link,name,os,pin,port,price,ram,rear_cam,resolution,rom,screensize,screentech,sim,size,status,tech,weigth,wifi
yes,gray,Intel Core i5 2.0GHz quad‑core 10th‑generation,No,card onboard,https://www.techone.vn/macbook-pro-2020-13-inch-512gb-chinh-hang-mwp42-grey-16gb-ram.html,MacBook Pro 2020,MacOS,,Four Thunderbolt 3 ports,41.300.000,16GB,720p FaceTime HD camera,1560 x 1600,512GB,13,retina,No,undefined,new,Mac,1.4 kg,"""Wi-Fi 802.11 b/g/n/ac"""
yes,gray,Intel Core i5 1.4GHz quad‑core 8th‑generation,No,card onboard,https://www.techone.vn/macbook-pro-2020-13-inch-512gb-chinh-hang-mxk52-grey-8gb-ram.html,MacBook Pro 2020,MacOS,,Two Thunderbolt 3 ports,35.340.000,8GB,720p FaceTime HD camera,1560 x 1600,512GB,13,retina,No,undefined,new,Mac,1.4 kg,"""Wi-Fi 802.11 b/g/n/ac"""
yes,silver,Intel Core i5 1.4GHz quad‑core 8th‑generation,No,card onboard,https://www.techone.vn/macbook-pro-2020-13-inch-256gb-chinh-hang-mxk62-silver-8gb-ram.html,MacBook Pro 2020,MacOS,,Two Thunderbolt 3 ports,30.190.000,8GB,720p FaceTime HD camera,1560 x 1600,256GB,13,retina,No,undefined,new,Mac,1.4 kg,"""Wi-Fi 802.11 b/g/n/ac"""
yes,gray,Intel Core i5 quad‑core 8th‑generation 1.4GHz,No,card onboard,https://www.techone.vn/macbook-pro-2020-13-inch-256gb-chinh-hang-core-i5-ram-8gb.html,MacBook Pro 2020,MacOS,,Hai cổng Thunderbolt 3,29.890.000,8GB,720p FaceTime HD camera,1560 x 1600,256GB,13,retina,No,undefined,new,Mac,"1,4 kg","""Wi-Fi 802.11 b/g/n/ac"""
yes,silver,Intel Core i5 quad‑core 8th‑generation 1.4GHz,No,card onboard,https://www.techone.vn/macbook-pro-2020-13-inch-512gb-chinh-hang-core-i5-ram-8gb.html,MacBook Pro 2020,MacOS,,Two Thunderbolt 3 ports,35.340.000,8GB,720p FaceTime HD camera,1560 x 1600,512GB,13,retina,No,undefined,new,Mac,1.4 kg,"""Wi-Fi 802.11 b/g/n/ac"""
yes,gray,Intel Core i5 2.0GHz quad‑core 10th‑generation,No,card onboard,https://www.techone.vn/macbook-pro-2020-13-inch-1tb-chinh-hang-mwp52-grey-16gb-ram.html,MacBook Pro 2020,MacOS,,Four Thunderbolt 3 ports,43.400.000,16GB,720p FaceTime HD camera,1560 x 1600,1TB,13,retina,No,undefined,new,Mac,1.4 kg,"""Wi-Fi 802.11 b/g/n/ac"""
yes,gold,Hãng không công bố Intel Core i5 Thế hệ 10 1.10 GHz,No,card onboard,https://www.techone.vn/macbook-air-2020-13-3-inch-512gb-chinh-hang-mvh52-gold.html,Macbook Air 2020,MacOS,,2 x Thunderbolt 3 (USB-C),26.850.000,Không hỗ trợ nâng cấp 8GB LPDDR4X (On board) 3733 MHz,720p FaceTime HD camera,1560 x 1600,512GB,13,retina,No,304.1 mm x 212.4 mm,new,Mac,1.29 kg,"""Wi-Fi 802.11 b/g/n/ac"""
yes,gray,Undefinded,No,card onboard,https://www.techone.vn/macbook-air-2020-i5-8-256gb-z0yj-gray-vn-a.html,Macbook Air 2020,MacOS,,Thunderbolt,26.990.000,Undefinded,720p FaceTime HD camera,1560 x 1600,256gb,13,retina,No,undefined,new,Mac,1.3,"""Wi-Fi 802.11 b/g/n/ac"""
yes,silver,Undefinded,No,card onboard,https://www.techone.vn/macbook-air-2020-i5-8-256gb-z0yk-silver-vn-a.html,Macbook Air 2020,MacOS,,Thunderbolt,26.990.000,Undefinded,720p FaceTime HD camera,1560 x 1600,256gb,13,retina,No,undefined,new,Mac,1.3,"""Wi-Fi 802.11 b/g/n/ac"""
yes,gray,Hãng không công bố Intel Core i3 Thế hệ 10 1.10 GHz,No,card onboard,https://www.techone.vn/macbook-air-2020-13-3-inch-256gb-chinh-hang-mwtk2-silver.html,Macbook Air 2020,MacOS,,2 x Thunderbolt 3 (USB-C),20.850.000,Không hỗ trợ nâng cấp 8GB LPDDR4X (On board) 3733 MHz,720p FaceTime HD camera,1560 x 1600,256 GB,13,retina,No,304.1 mm x 212.4 mm,new,Mac,1.29 kg,"""Wi-Fi 802.11 b/g/n/ac"""
yes,silver,Hãng không công bố Intel Core i3 Thế hệ 10 1.10 GHz,No,card onboard,https://www.techone.vn/macbook-air-13-3-inch-256gb-space-gray-chinh-hang-MWTK2-Silver.html,Macbook Air 2020,MacOS,,2 x Thunderbolt 3 (USB-C),20.850.000,Không hỗ trợ nâng cấp 8GB LPDDR4X (On board) 3733 MHz,720p FaceTime HD camera,1560 x 1600,256GB,13,retina,No,304.1 mm x 212.4 mm,new,Mac,1.29 kg,"""Wi-Fi 802.11 b/g/n/ac"""
yes,gold,Hãng không công bố Intel Core i3 Thế hệ 10 1.10 GHz,No,card onboard,https://www.techone.vn/macbook-air-2020-13-3-inch-256gb-chinh-hang-mwtl2-gold.html,Macbook Air 2020,MacOS,,2 x Thunderbolt 3 (USB-C),20.850.000,Không hỗ trợ nâng cấp 8GB LPDDR4X (On board) 3733 MHz,720p FaceTime HD camera,1560 x 1600,256 GB,13,retina,No,304.1 mm x 212.4 mm,new,Mac,1.29 kg,"""Wi-Fi 802.11 b/g/n/ac"""
yes,gray,Hãng không công bố Intel Core i5 Thế hệ 10 1.10 GHz,No,card onboard,https://www.techone.vn/macbook-air-13-3-inch-512gb-chinh-hang.html,Macbook Air 2020,MacOS,,2 x Thunderbolt 3 (USB-C),27.390.000,Không hỗ trợ nâng cấp 8 GB LPDDR4X (On board) 3733 MHz,720p FaceTime HD camera,1560 x 1600,512GB,13,retina,No,304.1 mm x 212.4 mm,new,Mac,1.29 kg,"""Wi-Fi 802.11 b/g/n/ac"""
yes,silver,Hãng không công bố Intel Core i5 Thế hệ 10 1.10 GHz,No,card onboard,https://www.techone.vn/macbook-air-2020-13-3-inch-512gb-chinh-hang-MVH42-silver.html,Macbook Air 2020,MacOS,,2 x Thunderbolt 3 (USB-C),27.390.000,Không hỗ trợ nâng cấp 8GB LPDDR4X (On board) 3733 MHz,720p FaceTime HD camera,1560 x 1600,512GB,13,retina,No,304.1 mm x 212.4 mm,new,Mac,1.29 kg,"""Wi-Fi 802.11 b/g/n/ac"""
yes,gold,Undefinded,No,card onboard,https://www.techone.vn/macbook-air-2020-i5-8-256gb-z0yl-gold-vn-a.html,Macbook Air 2020,MacOS,,Thunderbolt,26.990.000,Undefinded,720p FaceTime HD camera,1560 x 1600,256gb,13,retina,No,undefined,new,Mac,1.3,"""Wi-Fi 802.11 b/g/n/ac"""
yes,space gray,"intel intel Core i5 Dual-Core 1.6GHz Gen 8 Intel Core i5 processor, up to 3.6GHz Core i5 Dual-Core Intel UHD Graphics 617",No,Intel UHD Graphics 617,https://www.techone.vn/mvfh2-macbook-air-13-inch-128g-space-gray-2019-hang-chinh-hang.html,Macbook Air 13-inch 128G Space Gray- 2019,MacOS,,Up to 12 hours wireless web Up to 13 hours iTunes movie playback Up to 30 days of standby time Built-in 49.9‑watt‑hour lithium‑polymer battery 30W USB-C Power Adapter; USB-C power port,22.390.000,16GB 8GB LPDDR3 SDRAM 2133MHz,720p FaceTime HD camera,1560 x 1600,128GB,13,retina,No,undefined,new,Mac,1.3,"""Wi-Fi 802.11 b/g/n/ac"""
yes,gold,"intel intel Core i5 Dual-Core 1.6GHz Gen 8 Intel Core i5 processor, up to 3.6GHz Core i5 Dual-Core Intel UHD Graphics 617",No,Intel UHD Graphics 617,https://www.techone.vn/mvfm2-macbook-air-13-inch-128g-gold-2019-hang-chinh-hang.html,Macbook Air 13-inch 128G Gold-2019,MacOS,,Up to 12 hours wireless web Up to 13 hours iTunes movie playback Up to 30 days of standby time Built-in 49.9‑watt‑hour lithium‑polymer battery 30W USB-C Power Adapter; USB-C power port,22.590.000,16GB 8GB LPDDR3 SDRAM 2133MHz,720p FaceTime HD camera,1560 x 1600,128GB,13,retina,No,undefined,new,Mac,1.3,"""Wi-Fi 802.11 b/g/n/ac"""
yes,silver,"intel intel Core i5 Dual-Core 1.6GHz Gen 8 Intel Core i5 processor, up to 3.6GHz Core i5 Dual-Core Intel UHD Graphics 617",No,Intel UHD Graphics 617,https://www.techone.vn/mvfk2-macbook-air-13-inch-128g-silver-2019-hang-chinh-hang.html,Macbook Air 13-inch 128G Silver- 2019,MacOS,,Up to 12 hours wireless web Up to 13 hours iTunes movie playback Up to 30 days of standby time Built-in 49.9‑watt‑hour lithium‑polymer battery 30W USB-C Power Adapter; USB-C power port,22.390.000,16GB 8GB LPDDR3 SDRAM 2133MHz,720p FaceTime HD camera,1560 x 1600,128GB,13,retina,No,undefined,new,Mac,1.3,"""Wi-Fi 802.11 b/g/n/ac"""
yes,silver,"intel intel Core i5 Dual-Core 1.6GHz Gen 8 Intel Core i5 processor, up to 3.6GHz Core i5 Dual-Core Intel UHD Graphics 617",No,Intel UHD Graphics 617,https://www.techone.vn/mvfl2-macbook-air-13-inch-256g-silver-2019-hang-chinh-hang.html,Macbook Air 13-inch 256G Silver- 2019,MacOS,,Up to 12 hours wireless web Up to 13 hours iTunes movie playback Up to 30 days of standby time Built-in 49.9‑watt‑hour lithium‑polymer battery 30W USB-C Power Adapter; USB-C power port,25.390.000,16GB 8GB LPDDR3 SDRAM 2133MHz,720p FaceTime HD camera,1560 x 1600,256GB,13,retina,No,undefined,new,Mac,1.3,"""Wi-Fi 802.11 b/g/n/ac"""
yes,gold,"intel intel Core i5 Dual-Core 1.6GHz Gen 8 Intel Core i5 processor, up to 3.6GHz Core i5 Dual-Core Intel UHD Graphics 617",No,Intel UHD Graphics 617,https://www.techone.vn/mvfn2-macbook-air-13-inch-256g-gold-2019-hang-chinh-hang.html,Macbook Air 13-inch 256G Gold- 2019,MacOS,,Up to 12 hours wireless web Up to 13 hours iTunes movie playback Up to 30 days of standby time Built-in 49.9‑watt‑hour lithium‑polymer battery 30W USB-C Power Adapter; USB-C power port,25.390.000,16GB 8GB LPDDR3 SDRAM 2133MHz,720p FaceTime HD camera,1560 x 1600,256GB,13,retina,No,undefined,new,Mac,1.3,"""Wi-Fi 802.11 b/g/n/ac"""
