bluetooth,color,cpu,front_cam,gpu,link,name,os,pin,port,price,ram,rear_cam,resolution,rom,screensize,screentech,sim,size,status,tech,weigth,wifi
yes,rose gold,intel Core i5 processor Core i5 processor 1.3GHZ Core i5 Intel HD Graphics 615,No,Intel HD Graphics 615,https://www.techone.vn/the-new-macbook-2017-12-mnyn2-rose-gold-2017.html,The New macbook (2017) 12″ – MNYN2 – Rose Gold – 2017,MacOS,,USB-C port with support for: Charging; USB 3.1 Gen 1 (up to 5 Gbps),33.490.000,8GB LPDDR3 1866MHz,720p FaceTime HD camera,"2304-by-1440 resolution at 226 pixels per inch with support for millions of colors; 16:10 aspect ratio; Supported scaled resolutions: (1440 by 900, 1280 by 800, 1024 by 640)",512GB PCIe-based onboard flash storage,12-inch (diagonal),retina,No,undefined,new,Mac,920g,"""Wi-Fi 802.11 b/g/n/ac"""
yes,gold,intel intel Core i5 Dual-Core 1.6GHz Core i5 Dual-Core Intel UHD Graphics 617,No,Intel UHD Graphics 617,https://www.techone.vn/macbook-air-13-128gb-gold-2018-mree2.html,Macbook Air 13″ 128GB Gold 2018,MacOS,,"2 x Thunderbolt 3 via USB Type-C, 2 x DisplayPort via Type-C,2 x Integrated Speaker,3 x Integrated Microphone, 1 x 1/8″ (3.5 mm) Headphone Output",23.150.000,8gb LPDDR3 SDRAM 2133MHz,720p FaceTime HD camera,1560 x 1600,128GB,13,retina,No,30.5 x 30.5 x 1.5,new,Mac,1.25 kg,"""Wi-Fi 802.11 b/g/n/ac"""
yes,silver,intel intel quad-core 8th 2.6GHz Core i7 Intel Iris Plus 655,No,Intel Iris Plus 655,https://www.techone.vn/macbook-pro-15-inch-touch-bar-512gb-silver-mr972.html,MacBook Pro 15 inch Touch Bar 512GB Silver (MR972),MacOS,,Thunderbolt,57.190.000,8GB onboard memory LPDDR3 2133MHz,720p FaceTime HD camera,2880 x 1800,512GB PCIe-based onboard SSD,15,retina,No,349.3 x 240.7 x 15.5,new,Mac,"1,83","""Wi-Fi 802.11 b/g/n/ac"""
yes,silver,Hãng không công bố Intel Core i9 2.60 GHz,No,card onboard,https://www.techone.vn/macbook-pro-16-inch-1tb-2019-mvvm2-chinh-hang-bac.html,Macbook Pro 16 inch 1TB 2019,MacOS,,4 x Thunderbolt 3 (USB-C),58.590.000,Không hỗ trợ nâng cấp 16GB DDR4 (1 khe) 2666 MHz,720p FaceTime HD camera,3072 x 1920,1TB,16,retina,No,357.9 mm x 245.9 mm,new,Mac,2.0 kg,"""Wi-Fi 802.11 b/g/n/ac"""
yes,space gray,"intel intel Core i5 Dual-Core 1.6GHz Gen 8 Intel Core i5 processor, up to 3.6GHz Core i5 Dual-Core Intel UHD Graphics 617",No,Intel UHD Graphics 617,https://www.techone.vn/mvfj2-macbook-air-13-inch-256g-space-gray-2019-hang-chinh-hang.html,Macbook Air 13-inch 256G Space Gray- 2019,MacOS,,Up to 12 hours wireless web Up to 13 hours iTunes movie playback Up to 30 days of standby time Built-in 49.9‑watt‑hour lithium‑polymer battery 30W USB-C Power Adapter; USB-C power port,25.390.000,16GB 8GB LPDDR3 SDRAM 2133MHz,720p FaceTime HD camera,1560 x 1600,256GB,13,retina,No,undefined,new,Mac,1.3,"""Wi-Fi 802.11 b/g/n/ac"""
yes,space gray,Intel quad-core Intel Core i7 processor 7820HQ 2.9GHz Radeon Pro 555 with 2GB memory,No,Radeon Pro 555 with 2GB memory,https://www.techone.vn/macbook-pro-15in-touch-bar-512gb-mptt2-2017-space-gray.html,MacBook Pro 15in Touch Bar 512GB MPTT2 2017,MacOS,,Four Thunderbolt 3 ports,57.590.000,16GB onboard memory LPDDR3 2133MHz,720p FaceTime HD camera,2880 x 1800,512GB PCIe-based onboard SSD,15,retina,No,34.93 x 24.07 x 1.55,new,Mac,"1,83","""Wi-Fi 802.11 b/g/n/ac"""
yes,silver,Intel quad-core Intel Core i7 processor 7820HQ 2.9GHz Radeon Pro 555 with 2GB memory,No,Radeon Pro 555 with 2GB memory,https://www.techone.vn/macbook-pro-15-touch-bar-512gb-mptv2-2017-silver.html,MacBook Pro 15″ Touch Bar 512GB MPTV2 2017,MacOS,,Four Thunderbolt 3 ports,57.590.000,16GB onboard memory LPDDR3 2133MHz,720p FaceTime HD camera,2880-by-1800 native resolution at 220 pixels per inch,512GB PCIe-based onboard SSD,15.4-inch (diagonal) LED-backlit display with IPS technology;,retina,No,34.93 x 24.07 x 1.55,new,Mac,"1,83","""Wi-Fi 802.11 b/g/n/ac"""
yes,gray,intel intel 6-core 2.2GHz Core i7 Intel Iris Plus 655,No,Intel Iris Plus 655,https://www.techone.vn/macbook-pro-15-inch-2018-256gb-spacegray-mr932.html,Macbook Pro 15 inch 2018,MacOS,,Thunderbolt,43.390.000,8GB onboard memory LPDDR3 2133MHz,720p FaceTime HD camera,2880 x 1800,256GB PCIe-based onboard SSD,15,retina,No,349.3 x 240.7 x 15.5,new,Mac,"1,83","""Wi-Fi 802.11 b/g/n/ac"""
yes,silver,Intel quad-core Intel Core i7 processor 2.8GHz Radeon Pro 555 with 2GB memory,No,Radeon Pro 555 with 2GB memory,https://www.techone.vn/macbook-pro-15-touch-bar-256gb-mptu2-2017-silver.html,MacBook Pro 15″ Touch Bar 256GB MPTU2 2017,MacOS,,Four Thunderbolt 3 ports,47.990.000,16GB onboard memory LPDDR3 2133MHz,720p FaceTime HD camera,2880-by-1800 native resolution at 220 pixels per inch,256GB PCIe-based onboard SSD,15.4-inch (diagonal) LED-backlit display with IPS technology;,retina,No,34.93 x 24.07 x 1.55,new,Mac,"1,83","""Wi-Fi 802.11 b/g/n/ac"""
yes,gray,intel intel quad-core 8th 2.6GHz Core i7 Intel Iris Plus 655,No,Intel Iris Plus 655,https://www.techone.vn/macbook-pro-15-inch-2018-512gb-spacegray-mr942.html,Macbook Pro 15 inch 2018,MacOS,,Thunderbolt,56.690.000,8GB onboard memory LPDDR3 2133MHz,720p FaceTime HD camera,2880 x 1800,512GB PCIe-based onboard SSD,15,retina,No,349.3 x 240.7 x 15.5,new,Mac,"1,83","""Wi-Fi 802.11 b/g/n/ac"""
yes,silver,intel intel 6-core 2.2GHz Core i7 Intel Iris Plus 655,No,Intel Iris Plus 655,https://www.techone.vn/macbook-pro-15-inch-2018-256gb-sliver-mr962.html,Macbook Pro 15 inch 2018,MacOS,,Thunderbolt,53.590.000,8GB onboard memory LPDDR3 2133MHz,720p FaceTime HD camera,2880 x 1800,256GB PCIe-based onboard SSD,15,retina,No,349.3 x 240.7 x 15.5,new,Mac,"1,83","""Wi-Fi 802.11 b/g/n/ac"""
